rank,name,earnings,image
84,Kevin Hart,$39M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos1%2FCeleb100-SILO-KevinHart-Desktop-v1.png
85,Klay Thompson,$38.8M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed67bfe1b732a00060ba321%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D381%26cropX2%3D3071%26cropY1%3D82%26cropY2%3D1362
86,Katy Perry,$38.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos1%2FCeleb100-SILO-KatyPerry-Desktop-v1.png
87,Lady Gaga,$38M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed6716b919bd4000620250a%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D63%26cropX2%3D1906%26cropY1%3D0%26cropY2%3D879
87,Bon Jovi,$38M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed6a187b8d426000782be1a%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D2560%26cropY1%3D0%26cropY2%3D1219
87,U2,$38M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed671f1570be80006474a37%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1080%26cropY1%3D0%26cropY2%3D514
90,Naomi Osaka,$37.4M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos1%2FCeleb100-SILO-NaomiOsaka-Desktop-v1.png
91,Canelo Alvarez,$37M,https://thumbor.forbes.com/thumbor/https%3Ahttps%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F627bd212814cc599239717cc%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D2534%26cropY1%3D206%26cropY2%3D1412
91,Damian Lillard,$37M,https://thumbor.forbes.com/thumbor/https%3Ahttps%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F627bdee5c81e5f03678ee821%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D323%26cropX2%3D3452%26cropY1%3D28%26cropY2%3D1520
91,Paul McCartney,$37M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ecc828f85e6c7000617c817%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D553%26cropX2%3D2366%26cropY1%3D47%26cropY2%3D911
91,Oprah Winfrey,$37M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed6763e8b3c3700062352ea%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1810%26cropY1%3D35%26cropY2%3D897
95,DJ Khaled,$36.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed677d02af47f0006a8d8c5%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D2510%26cropY1%3D25%26cropY2%3D1220
95,Kiss,$36.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed55b92b14861000600bb4c%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D77%26cropX2%3D1770%26cropY1%3D164%26cropY2%3D970
97,Sebastian Vettel,$36.3M,https://thumbor.forbes.com/thumbor/https%3Ahttps%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F60b8ea7550405735ae936962%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D2862%26cropY1%3D442%26cropY2%3D1806
98,Serena Williams,$36M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos1%2FCeleb100-SILO-SerenaWilliams-Desktop-v1.png
99,Angelina Jolie,$35.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed67918c6ade40006ffd6db%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D2158%26cropY1%3D52%26cropY2%3D1080
100,Mohamed Salah,$35.1M,https://thumbor.forbes.com/thumbor/https%3Ahttps%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F627be91e09849a3247a3642a%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D324%26cropX2%3D1860%26cropY1%3D207%26cropY2%3D939
